year,uf_name,mortality,uf,pop,region_code,region_name,mortality_rate
2013,Bahia,2461,29,7099427,2,Nordeste,12.103
2013,Ceará,1211,23,4279734,2,Nordeste,9.698
2013,Distrito Federal,387,53,1326427,5,Centro-Oeste,8.691
2013,Espírito Santo,421,32,1841035,3,Suldeste,7.787
2013,Goiás,882,52,3185879,5,Centro-Oeste,9.302
2013,Maranhão,1341,21,3380783,2,Nordeste,11.661
2013,Mato Grosso,503,51,1643522,5,Centro-Oeste,9.484
2013,Mato Grosso do Sul,368,50,1288460,5,Centro-Oeste,8.701
2013,Minas Gerais,2119,31,10031255,3,Suldeste,8.193
2013,Paraná,1151,41,5357607,4,Sul,7.39
2013,Paraíba,587,25,1882569,2,Nordeste,10.325
2013,Pará,1695,15,4056010,1,Norte,12.158
2013,Pernambuco,1437,26,4417669,2,Nordeste,10.159
2013,Piauí,536,22,1573273,2,Nordeste,11.547
2013,Rio Grande do Norte,501,24,1627967,2,Nordeste,10.706
2013,Rio Grande do Sul,974,43,5388825,4,Sul,6.891
2013,Rio de Janeiro,2057,33,7935688,3,Suldeste,9.182
2013,Rondônia,241,11,842425,1,Norte,8.894
2013,Roraima,152,14,249023,1,Norte,14.056
2013,Santa Catarina,551,42,3285585,4,Sul,6.131
2013,Sergipe,362,28,1054266,2,Nordeste,10.576
2013,São Paulo,4774,35,21206883,3,Suldeste,7.815
2013,Tocantins,218,17,743446,1,Norte,9.039
2014,Acre,203,12,410212,1,Norte,11.844
2014,Alagoas,587,27,1574768,2,Nordeste,11.319
2014,Amapá,199,16,381800,1,Norte,12.23
2014,Amazonas,858,13,1921573,1,Norte,10.574
2014,Bahia,2342,29,7121489,2,Nordeste,11.478
2014,Ceará,1115,23,4303775,2,Nordeste,8.665
2014,Distrito Federal,344,53,1347128,5,Centro-Oeste,7.692
2014,Espírito Santo,430,32,1864376,3,Suldeste,7.604
2014,Goiás,902,52,3236445,5,Centro-Oeste,9.038
2014,Maranhão,1276,21,3396747,2,Nordeste,10.899
2014,Mato Grosso,530,51,1664325,5,Centro-Oeste,9.381
2014,Mato Grosso do Sul,353,50,1303844,5,Centro-Oeste,8.012
2014,Minas Gerais,1982,31,10098642,3,Suldeste,7.42
2014,Paraná,1182,41,5399573,4,Sul,7.391
2014,Paraíba,520,25,1891174,2,Nordeste,9.038
2014,Pará,1623,15,4101424,1,Norte,11.31
2014,Pernambuco,1343,26,4446434,2,Nordeste,9.36
2014,Piauí,523,22,1575158,2,Nordeste,10.909
2014,Rio Grande do Norte,441,24,1642156,2,Nordeste,9.166
2014,Rio Grande do Sul,983,43,5414110,4,Sul,6.859
2014,Rio de Janeiro,2053,33,7989111,3,Suldeste,8.789
2014,Rondônia,262,11,852003,1,Norte,9.507
2014,Roraima,161,14,254398,1,Norte,14.478
2014,Santa Catarina,577,42,3330048,4,Sul,6.189
2014,Sergipe,394,28,1063835,2,Nordeste,11.464
2014,São Paulo,4817,35,21407763,3,Suldeste,7.699
2014,Tocantins,201,17,751758,1,Norte,8.058
2015,Acre,187,12,416747,1,Norte,11.013
2015,Alagoas,558,27,1580547,2,Nordeste,10.678
2015,Amapá,187,16,390417,1,Norte,11.873
2015,Amazonas,815,13,1955183,1,Norte,10.175
2015,Bahia,2247,29,7144782,2,Nordeste,10.873
2015,Ceará,1113,23,4329808,2,Nordeste,8.399
2015,Distrito Federal,339,53,1368129,5,Centro-Oeste,7.35
2015,Espírito Santo,412,32,1887984,3,Suldeste,7.236
2015,Goiás,790,52,3287680,5,Centro-Oeste,7.847
2015,Maranhão,1259,21,3413714,2,Nordeste,10.709
2015,Mato Grosso,525,51,1685970,5,Centro-Oeste,9.264
2015,Mato Grosso do Sul,336,50,1319520,5,Centro-Oeste,7.612
2015,Minas Gerais,1959,31,10167615,3,Suldeste,7.301
2015,Paraná,1151,41,5442208,4,Sul,7.151
2015,Paraíba,437,25,1901265,2,Nordeste,7.396
2015,Pará,1587,15,4146782,1,Norte,11.047
2015,Pernambuco,1331,26,4476587,2,Nordeste,9.178
2015,Piauí,513,22,1577673,2,Nordeste,10.416
2015,Rio Grande do Norte,446,24,1656668,2,Nordeste,9.084
2015,Rio Grande do Sul,1011,43,5440822,4,Sul,6.815
2015,Rio de Janeiro,2069,33,8045483,3,Suldeste,8.731
2015,Rondônia,259,11,861751,1,Norte,9.277
2015,Roraima,128,14,260066,1,Norte,11.216
2015,Santa Catarina,619,42,3375630,4,Sul,6.367
2015,Sergipe,366,28,1073539,2,Nordeste,10.482
2015,São Paulo,4566,35,21614159,3,Suldeste,7.202
2015,Tocantins,213,17,760230,1,Norte,8.483
2016,Acre,139,12,422813,1,Norte,8.813
2016,Alagoas,502,27,1585689,2,Nordeste,10.423
2016,Amapá,201,16,398904,1,Norte,12.95
2016,Amazonas,824,13,1986871,1,Norte,10.743
2016,Bahia,2225,29,7166784,2,Nordeste,11.134
2016,Ceará,1055,23,4355542,2,Nordeste,8.357
2016,Distrito Federal,326,53,1388498,5,Centro-Oeste,7.522
2016,Espírito Santo,426,32,1910629,3,Suldeste,7.976
2016,Goiás,791,52,3336793,5,Centro-Oeste,8.277
2016,Maranhão,1158,21,3429686,2,Nordeste,10.48
2016,Mato Grosso,491,51,1706243,5,Centro-Oeste,9.172
2016,Mato Grosso do Sul,335,50,1334589,5,Centro-Oeste,7.895
2016,Minas Gerais,1841,31,10231969,3,Suldeste,7.262
2016,Paraná,1081,41,5482818,4,Sul,6.971
2016,Paraíba,470,25,1910681,2,Nordeste,8.38
2016,Pará,1556,15,4189258,1,Norte,11.301
2016,Pernambuco,1256,26,4504020,2,Nordeste,9.607
2016,Piauí,525,22,1579893,2,Nordeste,11.174
2016,Rio Grande do Norte,387,24,1670328,2,Nordeste,8.531
2016,Rio Grande do Sul,949,43,5466673,4,Sul,6.711
2016,Rio de Janeiro,2069,33,8097888,3,Suldeste,9.442
2016,Rondônia,203,11,871055,1,Norte,7.631
2016,Roraima,145,14,266538,1,Norte,12.746
2016,Santa Catarina,525,42,3421008,4,Sul,5.508
2016,Sergipe,349,28,1082646,2,Nordeste,10.832
2016,São Paulo,4338,35,21813699,3,Suldeste,7.213
2016,Tocantins,206,17,768086,1,Norte,8.63
2017,Acre,151,12,428803,1,Norte,9.231
2017,Alagoas,485,27,1590601,2,Nordeste,9.629
2017,Amapá,223,16,407218,1,Norte,14.481
2017,Amazonas,889,13,2018116,1,Norte,11.388
2017,Bahia,2166,29,7188569,2,Nordeste,10.613
2017,Ceará,1143,23,4380484,2,Nordeste,8.944
2017,Distrito Federal,298,53,1408492,5,Centro-Oeste,6.686
